Hacienda;   Nombre Hacienda;Suerte
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
158;El Talego (Ag. La Esperanza);01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
115;La Palmera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
70;Primavera;01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
158;El Talego (Ag. La Esperanza);01A
